Date,Open*,High,Low,Close**,Volume,Market Cap
3/27/2019,64.5,66.08,64.25,66.03,100937303,1166692050
3/26/2019,64.39,65.2,63.22,64.43,102461049,1138486516
3/25/2019,66.03,66.03,63.69,64.4,101968755,1137991954
3/24/2019,67.34,67.4,65.86,65.92,78083330,1164798628
3/23/2019,66.6,68.11,66.4,67.37,104157457,1190429109
3/22/2019,65.86,67.71,65.62,66.64,95048996,1177532502
3/21/2019,66.88,68.64,64.71,65.94,111105005,1165165905
3/20/2019,67.17,67.27,66.03,66.85,87084621,1181225402
3/19/2019,67.25,67.48,66.22,67.12,94744734,1185981264
3/18/2019,68.55,70.25,66.4,67.27,116157796,1188639613
3/17/2019,68.98,69.33,67.34,68.47,88594646,1209844855
3/16/2019,67.68,71.89,67.6,68.98,247381332,1218972280
3/15/2019,66.21,68.35,65.74,67.69,107343633,1196129480
3/14/2019,64.99,67.55,64.99,66.27,93890837,1171084828
3/13/2019,65.92,66,64.62,64.98,54907880,1148222963
3/12/2019,65.25,66.06,64.2,65.84,57798152,1163233723
3/11/2019,66.81,67.12,65.16,65.29,126738128,891834274
3/10/2019,66.87,68.06,66.11,66.81,73421603,1180167566
3/9/2019,65.63,68.45,65.47,66.77,81346906,1179297014
3/8/2019,66.9,70.14,65.38,65.57,103991079,1158030765
3/7/2019,66.97,67.31,66.28,66.86,80228565,1180585637
3/6/2019,67.17,67.65,66.29,66.91,83949274,1181435453
3/5/2019,63.42,67.89,63.42,67.28,108532649,1187893430
3/4/2019,65.33,65.54,62.98,63.46,83033489,1120285319
3/3/2019,66.91,67.24,65.22,65.41,77359163,1154648588
3/2/2019,66.86,67.41,66.34,66.91,70341089,1180999352
3/1/2019,67.25,68.62,66.59,67,79611503,1182343364
2/28/2019,67.82,69.47,66.55,67.32,94004768,1187857982
2/27/2019,74.47,74.47,66.63,67.86,122067413,1197314925
2/26/2019,68.32,75.9,68.32,74.58,224567303,1315784967
2/25/2019,61.23,71.71,61.17,68.39,189035735,1206403703
2/24/2019,69.12,69.86,60.72,61.2,132163469,1079526122
2/23/2019,65.84,68.74,65.17,68.74,93440728,1212312853
2/22/2019,65.32,66.33,64.8,65.96,73661306,1163153366
2/21/2019,67.51,67.96,64.93,65.39,84290326,1153050213
2/20/2019,67.07,67.97,65.65,67.5,102500845,1190212544
2/19/2019,67.7,70.69,67.09,67.09,137410469,1182805563
2/18/2019,63.45,69.96,63.2,67.65,172847783,1192478125
2/17/2019,62.3,63.49,61.77,62.87,83425628,1108140608
2/16/2019,62.35,63.14,62.07,62.29,71658497,1097820653
2/15/2019,62.71,63.55,62.03,62.4,69091467,1099721478
2/14/2019,64.54,64.76,62.69,62.7,59115294,1104780030
2/13/2019,65.6,66.05,64.44,64.55,59144580,1137354133
2/12/2019,64.93,66.28,64.3,65.5,64185736,1153968802
2/11/2019,66.76,66.89,64.97,64.98,71458349,1144580691
2/10/2019,66.01,66.61,63.8,66.61,80275617,1173301757
2/9/2019,67.41,67.52,65.43,66.09,72906743,1163931503
2/8/2019,62.48,68.17,61.5,67.34,94084306,1185898034
2/7/2019,62.51,65.87,61.1,62.5,92434471,1100601291
2/6/2019,61.26,67.71,57.51,62.89,146371619,1107231481
2/5/2019,62.86,62.99,60.57,60.94,48771767,1072808005
2/4/2019,63.87,64.22,62.85,63,49250475,1109053713
2/3/2019,65.65,65.67,63.52,63.72,58052365,1121559772
2/2/2019,64.23,66.02,64.14,65.75,67771998,1157197654
2/1/2019,64.06,65.03,63.38,64.35,66405205,1132412159
1/31/2019,66.29,67.3,62.99,63.98,76607875,1125734365
1/30/2019,63.52,68.07,63.07,66.38,90454423,1167863935
1/29/2019,65,65.82,61.98,63.54,86525991,1117891185
1/28/2019,71.88,71.88,62.66,64.99,88068769,1143281253
1/27/2019,74.05,74.14,71.64,71.83,56898464,1263392931
1/26/2019,74.83,75.44,73.74,73.97,48715609,1300987710
1/25/2019,74.69,76.26,73.99,74.74,62356147,1314264147
1/24/2019,75.58,75.68,74.1,74.52,57765740,1310384265
1/23/2019,75.92,76.54,75.15,75.54,57199065,1328070050
1/22/2019,75.02,76.76,73.34,75.93,60200752,1334760515
1/21/2019,75.44,76.99,74.44,75.01,54569897,1318537239
1/20/2019,77.42,77.42,74.65,75.34,57177839,1324247115
1/19/2019,76.13,77.87,75.78,77.53,57607818,1362577707
1/18/2019,77.9,77.9,75.43,75.96,59556650,1334911206
